size,length,ratio,population,random,num,spend
10,48,0.6,100,10,32,6.03
10,48,0.6,100,25,34,6.49
10,48,0.6,100,50,33,5.89
10,48,0.6,100,75,35,6.11
10,48,0.6,100,100,34,6.35
10,48,0.6,250,10,33,6.56
10,48,0.6,250,25,34,6.43
10,48,0.6,250,50,35,6.41
10,48,0.6,250,75,34,6.01
10,48,0.6,250,100,35,6.36
10,48,0.6,500,10,35,6.79
10,48,0.6,500,25,36,6.9
10,48,0.6,500,50,35,6.38
10,48,0.6,500,75,35,6.28
10,48,0.6,500,100,35,6.19
10,48,0.6,750,10,34,6.88
10,48,0.6,750,25,35,6.87
10,48,0.6,750,50,36,6.8
10,48,0.6,750,75,35,6.31
10,48,0.6,750,100,33,5.97
10,48,0.6,1000,10,36,7.35
10,48,0.6,1000,25,35,6.73
10,48,0.6,1000,50,35,6.24
10,48,0.6,1000,75,35,6.16
10,48,0.6,1000,100,35,6.12
10,51,0.6,100,10,33,6.71
10,51,0.6,100,25,33,7.01
10,51,0.6,100,50,32,6.28
10,51,0.6,100,75,30,5.51
10,51,0.6,100,100,32,6.17
10,51,0.6,250,10,31,6.3
10,51,0.6,250,25,33,6.74
10,51,0.6,250,50,32,6.16
10,51,0.6,250,75,31,5.82
10,51,0.6,250,100,33,6.22
10,51,0.6,500,10,32,6.61
10,51,0.6,500,25,32,6.28
10,51,0.6,500,50,33,6.36
10,51,0.6,500,75,34,6.25
10,51,0.6,500,100,34,6.24
10,51,0.6,750,10,32,6.85
10,51,0.6,750,25,31,6.03
10,51,0.6,750,50,33,6.06
10,51,0.6,750,75,33,5.68
10,51,0.6,750,100,33,5.58
10,51,0.6,1000,10,33,7.06
10,51,0.6,1000,25,32,6.18
10,51,0.6,1000,50,34,6.13
10,51,0.6,1000,75,34,5.98
10,51,0.6,1000,100,34,5.48
10,54,0.6,100,10,26,5.19
10,54,0.6,100,25,31,6.55
10,54,0.6,100,50,29,5.62
10,54,0.6,100,75,30,6.14
10,54,0.6,100,100,30,6.33
10,54,0.6,250,10,30,6.53
10,54,0.6,250,25,30,6.12
10,54,0.6,250,50,30,5.98
10,54,0.6,250,75,30,6.14
10,54,0.6,250,100,32,6.73
10,54,0.6,500,10,30,6.8
10,54,0.6,500,25,31,6.69
10,54,0.6,500,50,30,5.74
10,54,0.6,500,75,30,5.88
10,54,0.6,500,100,30,7.72
10,54,0.6,750,10,31,6.55
10,54,0.6,750,25,31,6.36
10,54,0.6,750,50,30,5.81
10,54,0.6,750,75,30,7.57
10,54,0.6,750,100,30,5.6
10,54,0.6,1000,10,30,6.51
10,54,0.6,1000,25,30,6.06
10,54,0.6,1000,50,30,5.52
10,54,0.6,1000,75,29,5.55
10,54,0.6,1000,100,29,5.45
10,57,0.6,100,10,27,5.97
10,57,0.6,100,25,27,5.39
10,57,0.6,100,50,28,5.59
10,57,0.6,100,75,27,5.39
10,57,0.6,100,100,29,6.5
10,57,0.6,250,10,28,6.46
10,57,0.6,250,25,30,6.58
10,57,0.6,250,50,30,6.18
10,57,0.6,250,75,30,6.19
10,57,0.6,250,100,29,6.03
10,57,0.6,500,10,29,6.81
10,57,0.6,500,25,29,6.2
10,57,0.6,500,50,31,8.61
10,57,0.6,500,75,31,6.28
10,57,0.6,500,100,30,6.23
10,57,0.6,750,10,30,7.04
10,57,0.6,750,25,29,6.34
10,57,0.6,750,50,30,6.12
10,57,0.6,750,75,31,5.96
10,57,0.6,750,100,31,5.75
10,57,0.6,1000,10,30,7.05
10,57,0.6,1000,25,31,6.95
10,57,0.6,1000,50,31,6.23
10,57,0.6,1000,75,31,6.23
10,57,0.6,1000,100,30,5.73
10,60,0.6,100,10,22,4.92
10,60,0.6,100,25,26,4.96
10,60,0.6,100,50,24,4.82
10,60,0.6,100,75,27,5.88
10,60,0.6,100,100,27,6.28
10,60,0.6,250,10,26,5.8
10,60,0.6,250,25,26,5.49
10,60,0.6,250,50,26,5.39
10,60,0.6,250,75,26,5.73
10,60,0.6,250,100,27,5.9
10,60,0.6,500,10,28,6.16
10,60,0.6,500,25,27,5.79
10,60,0.6,500,50,27,5.49
10,60,0.6,500,75,28,5.37
10,60,0.6,500,100,27,5.62
10,60,0.6,750,10,27,5.96
10,60,0.6,750,25,27,5.55
10,60,0.6,750,50,27,5.29
10,60,0.6,750,75,28,5.28
10,60,0.6,750,100,27,5.31
10,60,0.6,1000,10,27,5.85
10,60,0.6,1000,25,28,5.78
10,60,0.6,1000,50,28,5.05
10,60,0.6,1000,75,28,5.0
10,60,0.6,1000,100,25,5.23
50,48,0.6,100,10,42,10.56
50,48,0.6,100,25,43,9.52
50,48,0.6,100,50,45,10.15
50,48,0.6,100,75,43,9.57
50,48,0.6,100,100,51,11.62
50,48,0.6,250,10,48,12.49
50,48,0.6,250,25,49,12.74
50,48,0.6,250,50,47,11.17
50,48,0.6,250,75,52,12.99
50,48,0.6,250,100,51,11.73
