size,length,ratio,population,random,num,spend
10,48,0.9,100,10,2,0.29
10,48,0.9,100,25,2,0.28
10,48,0.9,100,50,2,0.47
10,48,0.9,100,75,2,0.65
10,48,0.9,100,100,2,0.84
10,48,0.9,250,10,2,0.18
10,48,0.9,250,25,2,0.29
10,48,0.9,250,50,2,0.48
10,48,0.9,250,75,2,0.67
10,48,0.9,250,100,2,0.85
10,48,0.9,500,10,2,0.2
10,48,0.9,500,25,2,0.31
10,48,0.9,500,50,2,0.5
10,48,0.9,500,75,2,0.77
10,48,0.9,500,100,2,0.87
10,48,0.9,750,10,2,0.22
10,48,0.9,750,25,2,0.37
10,48,0.9,750,50,2,0.52
10,48,0.9,750,75,2,0.71
10,48,0.9,750,100,2,0.89
10,48,0.9,1000,10,2,0.24
10,48,0.9,1000,25,2,0.37
10,48,0.9,1000,50,2,0.59
10,48,0.9,1000,75,2,0.75
10,48,0.9,1000,100,2,1.07
10,51,0.9,100,10,2,0.27
10,51,0.9,100,25,2,0.32
10,51,0.9,100,50,2,0.61
10,51,0.9,100,75,2,1.04
10,51,0.9,100,100,2,1.0
10,51,0.9,250,10,2,0.2
10,51,0.9,250,25,2,0.33
10,51,0.9,250,50,2,0.57
10,51,0.9,250,75,2,0.81
10,51,0.9,250,100,2,0.97
10,51,0.9,500,10,2,0.22
10,51,0.9,500,25,2,0.35
10,51,0.9,500,50,2,0.57
10,51,0.9,500,75,2,0.78
10,51,0.9,500,100,2,1.0
10,51,0.9,750,10,2,0.25
10,51,0.9,750,25,2,0.38
10,51,0.9,750,50,2,0.59
10,51,0.9,750,75,2,0.81
10,51,0.9,750,100,2,1.02
10,51,0.9,1000,10,2,0.32
10,51,0.9,1000,25,2,0.4
10,51,0.9,1000,50,2,0.61
10,51,0.9,1000,75,2,0.85
10,51,0.9,1000,100,2,1.04
10,54,0.9,100,10,2,0.25
10,54,0.9,100,25,2,0.37
10,54,0.9,100,50,2,0.6
10,54,0.9,100,75,2,0.84
10,54,0.9,100,100,2,1.08
10,54,0.9,250,10,2,0.22
10,54,0.9,250,25,2,0.36
10,54,0.9,250,50,2,0.61
10,54,0.9,250,75,2,0.85
10,54,0.9,250,100,2,1.1
10,54,0.9,500,10,2,0.24
10,54,0.9,500,25,2,0.39
10,54,0.9,500,50,2,0.63
10,54,0.9,500,75,2,0.88
10,54,0.9,500,100,2,1.12
10,54,0.9,750,10,2,0.27
10,54,0.9,750,25,2,0.42
10,54,0.9,750,50,2,0.66
10,54,0.9,750,75,2,0.92
10,54,0.9,750,100,2,1.15
10,54,0.9,1000,10,2,0.29
10,54,0.9,1000,25,2,0.44
10,54,0.9,1000,50,2,0.68
10,54,0.9,1000,75,2,0.93
10,54,0.9,1000,100,2,1.17
10,57,0.9,100,10,2,0.25
10,57,0.9,100,25,2,0.4
10,57,0.9,100,50,2,0.59
10,57,0.9,100,75,2,0.84
10,57,0.9,100,100,2,1.08
10,57,0.9,250,10,2,0.22
10,57,0.9,250,25,2,0.36
10,57,0.9,250,50,2,0.61
10,57,0.9,250,75,2,0.85
10,57,0.9,250,100,2,1.09
10,57,0.9,500,10,2,0.24
10,57,0.9,500,25,2,0.4
10,57,0.9,500,50,2,0.63
10,57,0.9,500,75,2,0.88
10,57,0.9,500,100,2,1.12
10,57,0.9,750,10,2,0.28
10,57,0.9,750,25,2,0.42
10,57,0.9,750,50,2,0.66
10,57,0.9,750,75,2,0.9
10,57,0.9,750,100,2,1.15
