size,length,ratio,population,random,num,spend
10,48,0.5,100,10,137,107.2
10,48,0.5,100,25,143,112.01
10,48,0.5,100,50,143,108.58
10,48,0.5,100,75,139,104.26
10,48,0.5,100,100,144,105.77
10,48,0.5,250,10,150,127.48
10,48,0.5,250,25,147,120.51
10,48,0.5,250,50,143,110.16
10,48,0.5,250,75,148,109.64
10,48,0.5,250,100,149,106.37
10,48,0.5,500,10,149,128.36
10,48,0.5,500,25,146,117.45
10,48,0.5,500,50,146,113.94
10,48,0.5,500,75,148,112.08
10,48,0.5,500,100,149,102.95
10,48,0.5,750,10,147,123.25
10,48,0.5,750,25,148,121.29
10,48,0.5,750,50,152,113.72
10,48,0.5,750,75,146,102.53
10,48,0.5,750,100,144,95.7
10,48,0.5,1000,10,148,122.7
10,48,0.5,1000,25,147,116.17
10,48,0.5,1000,50,148,108.15
10,48,0.5,1000,75,149,105.42
10,48,0.5,1000,100,149,96.32
10,51,0.5,100,10,171,186.37
10,51,0.5,100,25,171,177.8
10,51,0.5,100,50,171,175.05
10,51,0.5,100,75,174,171.22
10,51,0.5,100,100,178,177.7
10,51,0.5,250,10,176,193.39
10,51,0.5,250,25,177,194.63
10,51,0.5,250,50,179,191.13
10,51,0.5,250,75,177,180.42
10,51,0.5,250,100,178,167.21
10,51,0.5,500,10,179,203.0
10,51,0.5,500,25,181,199.15
10,51,0.5,500,50,180,187.38
10,51,0.5,500,75,179,178.46
10,51,0.5,500,100,177,166.82
10,51,0.5,750,10,179,203.33
10,51,0.5,750,25,181,200.78
10,51,0.5,750,50,179,184.99
10,51,0.5,750,75,181,177.14
10,51,0.5,750,100,180,167.28
10,51,0.5,1000,10,181,206.37
10,51,0.5,1000,25,184,201.84
10,51,0.5,1000,50,183,187.97
10,51,0.5,1000,75,180,172.0
10,51,0.5,1000,100,179,161.64
10,54,0.5,100,10,151,158.45
10,54,0.5,100,25,159,168.64
10,54,0.5,100,50,158,162.13
10,54,0.5,100,75,157,155.68
10,54,0.5,100,100,160,154.35
10,54,0.5,250,10,164,187.14
10,54,0.5,250,25,164,182.93
10,54,0.5,250,50,165,173.61
10,54,0.5,250,75,163,164.48
10,54,0.5,250,100,161,155.77
10,54,0.5,500,10,165,191.52
10,54,0.5,500,25,161,176.25
10,54,0.5,500,50,165,173.91
10,54,0.5,500,75,163,163.0
10,54,0.5,500,100,164,153.48
10,54,0.5,750,10,165,189.61
10,54,0.5,750,25,164,180.06
10,54,0.5,750,50,166,173.05
10,54,0.5,750,75,164,161.62
10,54,0.5,750,100,163,150.39
10,54,0.5,1000,10,168,194.06
10,54,0.5,1000,25,164,178.17
10,54,0.5,1000,50,164,164.28
10,54,0.5,1000,75,163,155.65
10,54,0.5,1000,100,164,147.88
10,57,0.5,100,10,186,263.86
10,57,0.5,100,25,189,265.53
10,57,0.5,100,50,195,271.11
10,57,0.5,100,75,188,247.38
10,57,0.5,100,100,196,248.99
10,57,0.5,250,10,197,285.87
10,57,0.5,250,25,194,281.38
10,57,0.5,250,50,199,282.57
10,57,0.5,250,75,197,271.48
10,57,0.5,250,100,199,263.59
10,57,0.5,500,10,201,305.74
10,57,0.5,500,25,200,292.19
10,57,0.5,500,50,202,284.42
10,57,0.5,500,75,198,262.14
10,57,0.5,500,100,197,250.46
10,57,0.5,750,10,202,306.9
10,57,0.5,750,25,203,296.41
10,57,0.5,750,50,199,273.76
10,57,0.5,750,75,198,255.32
10,57,0.5,750,100,198,240.88
10,57,0.5,1000,10,201,300.97
10,57,0.5,1000,25,200,289.46
10,57,0.5,1000,50,198,266.13
10,57,0.5,1000,75,200,252.74
10,57,0.5,1000,100,199,236.56
10,60,0.5,100,10,170,226.73
10,60,0.5,100,25,167,222.57
10,60,0.5,100,50,173,221.93
10,60,0.5,100,75,169,211.63
10,60,0.5,100,100,170,207.79
10,60,0.5,250,10,174,244.56
10,60,0.5,250,25,176,243.74
10,60,0.5,250,50,174,230.55
10,60,0.5,250,75,173,218.34
10,60,0.5,250,100,171,205.45
10,60,0.5,500,10,177,256.01
10,60,0.5,500,25,175,242.98
10,60,0.5,500,50,174,228.79
10,60,0.5,500,75,175,216.69
10,60,0.5,500,100,171,197.68
10,60,0.5,750,10,176,255.93
10,60,0.5,750,25,178,247.39
10,60,0.5,750,50,177,229.27
10,60,0.5,750,75,178,217.77
10,60,0.5,750,100,172,198.97
10,60,0.5,1000,10,181,261.68
10,60,0.5,1000,25,178,247.89
10,60,0.5,1000,50,179,237.11
10,60,0.5,1000,75,176,208.76
10,60,0.5,1000,100,173,196.94
50,48,0.5,100,10,213,248.09
50,48,0.5,100,25,222,260.13
50,48,0.5,100,50,232,276.35
50,48,0.5,100,75,238,286.22
50,48,0.5,100,100,244,302.22
50,48,0.5,250,10,247,337.55
50,48,0.5,250,25,251,345.22
50,48,0.5,250,50,258,344.0
50,48,0.5,250,75,258,339.91
50,48,0.5,250,100,264,343.22
50,48,0.5,500,10,262,379.5
50,48,0.5,500,25,264,377.95
50,48,0.5,500,50,265,368.04
50,48,0.5,500,75,270,371.67
50,48,0.5,500,100,271,350.74
50,48,0.5,750,10,273,414.61
50,48,0.5,750,25,267,386.85
50,48,0.5,750,50,272,376.34
50,48,0.5,750,75,278,373.36
50,48,0.5,750,100,272,354.87
50,48,0.5,1000,10,267,392.61
50,48,0.5,1000,25,275,400.69
50,48,0.5,1000,50,275,384.29
50,48,0.5,1000,75,272,360.24
50,48,0.5,1000,100,275,351.75
50,51,0.5,100,10,299,544.24
50,51,0.5,100,25,328,610.07
50,51,0.5,100,50,320,592.54
50,51,0.5,100,75,320,591.86
50,51,0.5,100,100,332,620.6
50,51,0.5,250,10,324,659.26
50,51,0.5,250,25,330,678.1
50,51,0.5,250,50,346,714.0
50,51,0.5,250,75,344,679.69
50,51,0.5,250,100,344,670.09
50,51,0.5,500,10,343,741.3
50,51,0.5,500,25,361,790.41
50,51,0.5,500,50,349,721.39
50,51,0.5,500,75,354,719.57
50,51,0.5,500,100,361,722.52
50,51,0.5,750,10,359,807.59
50,51,0.5,750,25,362,799.28
50,51,0.5,750,50,364,771.87
50,51,0.5,750,75,363,733.49
50,51,0.5,750,100,361,711.68
50,51,0.5,1000,10,364,804.15
50,51,0.5,1000,25,363,787.86
50,51,0.5,1000,50,362,764.79
50,51,0.5,1000,75,368,744.98
50,51,0.5,1000,100,362,704.22
50,54,0.5,100,10,255,439.15
50,54,0.5,100,25,266,463.62
50,54,0.5,100,50,269,466.26
50,54,0.5,100,75,278,482.55
50,54,0.5,100,100,275,476.0
50,54,0.5,250,10,274,526.39
50,54,0.5,250,25,289,564.93
50,54,0.5,250,50,291,565.02
50,54,0.5,250,75,302,580.73
50,54,0.5,250,100,303,554.56
50,54,0.5,500,10,290,580.51
50,54,0.5,500,25,304,620.16
50,54,0.5,500,50,309,619.94
50,54,0.5,500,75,309,586.13
50,54,0.5,500,100,310,580.73
50,54,0.5,750,10,305,635.23
50,54,0.5,750,25,313,653.77
50,54,0.5,750,50,313,630.21
50,54,0.5,750,75,316,601.87
50,54,0.5,750,100,312,572.5
50,54,0.5,1000,10,318,682.11
50,54,0.5,1000,25,314,646.49
50,54,0.5,1000,50,317,637.62
50,54,0.5,1000,75,317,610.3
50,54,0.5,1000,100,318,580.78
50,57,0.5,100,10,349,867.13
50,57,0.5,100,25,350,874.89
50,57,0.5,100,50,375,962.16
50,57,0.5,100,75,369,929.67
50,57,0.5,100,100,370,944.96
50,57,0.5,250,10,381,1075.15
50,57,0.5,250,25,385,1094.88
50,57,0.5,250,50,397,1108.4
50,57,0.5,250,75,398,1109.25
50,57,0.5,250,100,399,1095.97
50,57,0.5,500,10,410,1259.36
50,57,0.5,500,25,400,1190.32
50,57,0.5,500,50,417,1235.3
50,57,0.5,500,75,416,1207.47
50,57,0.5,500,100,421,1217.08
50,57,0.5,750,10,409,1241.86
50,57,0.5,750,25,421,1286.07
50,57,0.5,750,50,421,1245.82
50,57,0.5,750,75,420,1202.66
50,57,0.5,750,100,417,1154.42
50,57,0.5,1000,10,423,1308.84
50,57,0.5,1000,25,429,1308.2
50,57,0.5,1000,50,423,1254.31
50,57,0.5,1000,75,428,1206.14
50,57,0.5,1000,100,419,1136.7
50,60,0.5,100,10,308,747.07
50,60,0.5,100,25,319,772.85
50,60,0.5,100,50,316,743.28
50,60,0.5,100,75,330,793.7
50,60,0.5,100,100,329,778.5
50,60,0.5,250,10,331,885.54
50,60,0.5,250,25,335,876.01
50,60,0.5,250,50,346,898.65
50,60,0.5,250,75,346,893.23
50,60,0.5,250,100,345,870.74
50,60,0.5,500,10,345,955.54
50,60,0.5,500,25,356,1000.08
50,60,0.5,500,50,358,971.43
50,60,0.5,500,75,365,984.88
50,60,0.5,500,100,359,920.06
50,60,0.5,750,10,353,998.78
50,60,0.5,750,25,364,1032.64
50,60,0.5,750,50,364,994.36
50,60,0.5,750,75,365,966.45
50,60,0.5,750,100,366,947.38
50,60,0.5,1000,10,367,1064.66
50,60,0.5,1000,25,365,1023.84
50,60,0.5,1000,50,368,1010.77
50,60,0.5,1000,75,369,966.32
50,60,0.5,1000,100,366,921.55
100,48,0.5,100,10,287,426.16
100,48,0.5,100,25,295,451.3
100,48,0.5,100,50,290,428.22
100,48,0.5,100,75,313,481.32
100,48,0.5,100,100,313,482.19
100,48,0.5,250,10,299,490.92
100,48,0.5,250,25,320,544.57
100,48,0.5,250,50,327,558.5
100,48,0.5,250,75,329,553.41
100,48,0.5,250,100,330,543.61
100,48,0.5,500,10,329,593.89
100,48,0.5,500,25,336,611.53
100,48,0.5,500,50,338,598.43
100,48,0.5,500,75,356,644.88
