size,length,ratio,population,random,num,spend
10,48,0.8,100,10,3,0.32
10,48,0.8,100,25,4,0.32
10,48,0.8,100,50,4,0.49
10,48,0.8,100,75,4,0.69
10,48,0.8,100,100,4,0.9
10,48,0.8,250,10,3,0.21
10,48,0.8,250,25,4,0.35
10,48,0.8,250,50,4,0.52
10,48,0.8,250,75,4,0.7
10,48,0.8,250,100,4,0.92
10,48,0.8,500,10,4,0.24
10,48,0.8,500,25,3,0.33
10,48,0.8,500,50,4,0.59
10,48,0.8,500,75,4,0.72
10,48,0.8,500,100,4,0.9
10,48,0.8,750,10,4,0.28
10,48,0.8,750,25,4,0.37
10,48,0.8,750,50,4,0.55
10,48,0.8,750,75,4,0.74
10,48,0.8,750,100,4,0.94
10,48,0.8,1000,10,4,0.33
10,48,0.8,1000,25,4,0.41
10,48,0.8,1000,50,4,0.58
10,48,0.8,1000,75,4,0.76
10,48,0.8,1000,100,4,0.94
10,51,0.8,100,10,3,0.27
10,51,0.8,100,25,4,0.38
10,51,0.8,100,50,4,0.6
10,51,0.8,100,75,4,0.79
10,51,0.8,100,100,4,1.25
10,51,0.8,250,10,4,0.52
10,51,0.8,250,25,4,0.41
10,51,0.8,250,50,4,0.59
10,51,0.8,250,75,4,0.8
10,51,0.8,250,100,4,1.02
10,51,0.8,500,10,4,0.35
10,51,0.8,500,25,4,0.46
10,51,0.8,500,50,4,0.75
10,51,0.8,500,75,4,0.89
10,51,0.8,500,100,4,1.06
10,51,0.8,750,10,4,0.35
10,51,0.8,750,25,4,0.44
10,51,0.8,750,50,4,0.66
10,51,0.8,750,75,4,0.85
10,51,0.8,750,100,4,1.12
10,51,0.8,1000,10,4,0.35
10,51,0.8,1000,25,4,0.45
10,51,0.8,1000,50,4,0.65
10,51,0.8,1000,75,4,0.86
10,51,0.8,1000,100,4,1.1
10,54,0.8,100,10,3,0.32
10,54,0.8,100,25,4,0.41
10,54,0.8,100,50,3,0.63
10,54,0.8,100,75,4,0.87
10,54,0.8,100,100,3,1.11
10,54,0.8,250,10,3,0.3
10,54,0.8,250,25,3,0.44
10,54,0.8,250,50,4,0.65
10,54,0.8,250,75,4,0.98
10,54,0.8,250,100,4,1.15
10,54,0.8,500,10,4,0.34
10,54,0.8,500,25,4,0.47
10,54,0.8,500,50,4,0.69
10,54,0.8,500,75,3,0.92
10,54,0.8,500,100,3,1.16
10,54,0.8,750,10,4,0.33
10,54,0.8,750,25,4,0.46
10,54,0.8,750,50,3,0.68
10,54,0.8,750,75,3,0.95
10,54,0.8,750,100,4,1.18
10,54,0.8,1000,10,3,0.35
10,54,0.8,1000,25,4,0.48
10,54,0.8,1000,50,4,0.73
10,54,0.8,1000,75,4,0.95
10,54,0.8,1000,100,4,1.2
10,57,0.8,100,10,3,0.29
10,57,0.8,100,25,3,0.38
10,57,0.8,100,50,3,0.65
10,57,0.8,100,75,3,0.86
10,57,0.8,100,100,3,1.12
10,57,0.8,250,10,3,0.26
10,57,0.8,250,25,3,0.4
10,57,0.8,250,50,3,0.63
10,57,0.8,250,75,3,0.89
10,57,0.8,250,100,4,1.15
10,57,0.8,500,10,3,0.3
10,57,0.8,500,25,3,0.42
10,57,0.8,500,50,3,0.67
10,57,0.8,500,75,3,0.9
10,57,0.8,500,100,3,1.14
10,57,0.8,750,10,3,0.31
10,57,0.8,750,25,4,0.44
10,57,0.8,750,50,3,0.68
10,57,0.8,750,75,3,0.93
10,57,0.8,750,100,3,1.2
10,57,0.8,1000,10,3,0.35
10,57,0.8,1000,25,3,0.49
10,57,0.8,1000,50,3,0.75
10,57,0.8,1000,75,4,0.96
10,57,0.8,1000,100,3,1.22
