size,length,ratio,population,random,num,spend
50,51,0.7,100,50,9,1.13
50,51,0.7,100,75,11,1.41
50,51,0.7,100,100,10,1.64
50,51,0.7,250,10,9,0.8
50,51,0.7,250,25,9,0.91
50,51,0.7,250,50,11,1.27
50,51,0.7,250,75,10,1.5
50,51,0.7,250,100,10,1.52
50,51,0.7,500,10,11,1.01
50,51,0.7,500,25,10,0.94
50,51,0.7,500,50,9,1.05
50,51,0.7,500,75,11,1.34
50,51,0.7,500,100,10,1.49
50,51,0.7,750,10,10,1.0
50,51,0.7,750,25,10,1.18
50,51,0.7,750,50,11,1.14
50,51,0.7,750,75,11,1.37
50,51,0.7,750,100,10,1.6
50,51,0.7,1000,10,11,0.98
50,51,0.7,1000,25,10,1.18
50,51,0.7,1000,50,10,1.28
50,51,0.7,1000,75,10,1.55
50,51,0.7,1000,100,10,1.61
50,54,0.7,100,10,10,1.03
50,54,0.7,100,25,10,1.02
50,54,0.7,100,50,11,1.36
50,54,0.7,100,75,12,1.75
50,54,0.7,100,100,12,1.95
50,54,0.7,250,10,10,1.02
50,54,0.7,250,25,11,1.24
50,54,0.7,250,50,11,1.45
50,54,0.7,250,75,11,1.67
50,54,0.7,250,100,11,1.87
50,54,0.7,500,10,11,1.28
50,54,0.7,500,25,11,1.35
50,54,0.7,500,50,12,1.65
50,54,0.7,500,75,11,1.91
50,54,0.7,500,100,12,2.03
50,54,0.7,750,10,12,1.24
50,54,0.7,750,25,12,1.41
50,54,0.7,750,50,11,1.42
50,54,0.7,750,75,11,1.71
50,54,0.7,750,100,12,1.99
50,54,0.7,1000,10,12,1.28
50,54,0.7,1000,25,13,1.47
50,54,0.7,1000,50,12,1.51
50,54,0.7,1000,75,12,1.61
50,54,0.7,1000,100,11,1.86
50,57,0.7,100,10,10,1.05
50,57,0.7,100,25,9,0.88
50,57,0.7,100,50,10,1.23
50,57,0.7,100,75,9,1.42
50,57,0.7,100,100,9,1.69
50,57,0.7,250,10,9,0.86
50,57,0.7,250,25,10,1.07
50,57,0.7,250,50,9,1.19
50,57,0.7,250,75,10,1.55
50,57,0.7,250,100,10,1.72
50,57,0.7,500,10,8,0.76
50,57,0.7,500,25,10,1.09
50,57,0.7,500,50,11,1.37
50,57,0.7,500,75,11,1.61
50,57,0.7,500,100,10,1.68
50,57,0.7,750,10,10,1.05
50,57,0.7,750,25,9,0.98
50,57,0.7,750,50,8,1.13
50,57,0.7,750,75,11,1.5
50,57,0.7,750,100,10,1.74
50,57,0.7,1000,10,12,1.07
50,57,0.7,1000,25,11,1.19
50,57,0.7,1000,50,11,1.34
50,57,0.7,1000,75,10,1.49
50,57,0.7,1000,100,11,1.88
50,60,0.7,100,10,9,0.98
50,60,0.7,100,25,7,0.84
50,60,0.7,100,50,9,1.3
50,60,0.7,100,75,8,1.44
50,60,0.7,100,100,8,1.76
50,60,0.7,250,10,7,0.71
50,60,0.7,250,25,9,1.07
50,60,0.7,250,50,8,1.22
50,60,0.7,250,75,9,1.57
50,60,0.7,250,100,9,1.92
50,60,0.7,500,10,9,1.09
50,60,0.7,500,25,9,1.11
50,60,0.7,500,50,9,1.39
50,60,0.7,500,75,10,1.67
50,60,0.7,500,100,9,2.0
50,60,0.7,750,10,9,1.0
50,60,0.7,750,25,9,1.08
50,60,0.7,750,50,9,1.35
50,60,0.7,750,75,9,1.65
50,60,0.7,750,100,9,1.92
50,60,0.7,1000,10,9,1.0
50,60,0.7,1000,25,9,1.19
50,60,0.7,1000,50,9,1.39
