junction_length	tpos	cond_pos	cond_all	cond_neg	test_pos	fpos	norm_mini	size_threshold	para_pp	para_pw	sample	radius
51	267974	270020	34283340	34013320	267992	18	0.5	2000	187.022	36.346	M4-1	0.5
52	0	0	0	0	0	0	0.5	2000	187.022	36.346	M4-1	0.5
53	0	0	1	1	0	0	0.5	2000	187.022	36.346	M4-1	0.5
54	249514	257003	26335653	26078650	249534	20	0.5	2000	187.022	36.346	M4-1	0.5
56	55	55	55	0	55	0	0.5	2000	187.022	36.346	M4-1	0.5
57	92013	92998	17307786	17214788	92039	26	0.5	2000	187.022	36.346	M4-1	0.5
58	0	0	0	0	0	0	0.5	2000	187.022	36.346	M4-1	0.5
60	172910	174264	15354111	15179847	172911	1	0.5	2000	187.022	36.346	M4-1	0.5
63	89460	90130	11987856	11897726	89514	54	0.5	2000	187.022	36.346	M4-1	0.5
65	0	0	0	0	0	0	0.5	2000	187.022	36.346	M4-1	0.5
66	189002	189660	8704878	8515218	189002	0	0.5	2000	187.022	36.346	M4-1	0.5
67	0	0	0	0	0	0	0.5	2000	187.022	36.346	M4-1	0.5
69	148691	148774	7634278	7485504	148697	6	0.5	2000	187.022	36.346	M4-1	0.5
72	1448191	1449473	11493615	10044142	1448196	5	0.5	2000	187.022	36.346	M4-1	0.5
73	1	1	1	0	1	0	0.5	2000	187.022	36.346	M4-1	0.5
75	18218	18309	962578	944269	18218	0	0.5	2000	187.022	36.346	M4-1	0.5
78	12180	12247	451725	439478	12180	0	0.5	2000	187.022	36.346	M4-1	0.5
81	1988	2002	126756	124754	1988	0	0.5	2000	187.022	36.346	M4-1	0.5
84	5572	5573	52650	47077	5572	0	0.5	2000	187.022	36.346	M4-1	0.5
87	620	621	12403	11782	620	0	0.5	2000	187.022	36.346	M4-1	0.5
90	218	233	4753	4520	218	0	0.5	2000	187.022	36.346	M4-1	0.5
3	0	0	0	0	0	0	0.5	2000	284.008	34.059	M2-1	0.5
12	1	1	1	0	1	0	0.5	2000	284.008	34.059	M2-1	0.5
15	0	0	0	0	0	0	0.5	2000	284.008	34.059	M2-1	0.5
24	80	80	17391	17311	132	52	0.5	2000	284.008	34.059	M2-1	0.5
27	58	58	20706	20648	65	7	0.5	2000	284.008	34.059	M2-1	0.5
30	316	317	102831	102514	326	10	0.5	2000	284.008	34.059	M2-1	0.5
33	760	781	571915	571134	808	48	0.5	2000	284.008	34.059	M2-1	0.5
36	1513	1518	1530375	1528857	1626	113	0.5	2000	284.008	34.059	M2-1	0.5
39	13363	13402	4501500	4488098	13413	50	0.5	2000	284.008	34.059	M2-1	0.5
41	0	0	0	0	0	0	0.5	2000	284.008	34.059	M2-1	0.5
42	28567	28588	10010575	9981987	28870	303	0.5	2000	284.008	34.059	M2-1	0.5
43	0	0	1	1	0	0	0.5	2000	284.008	34.059	M2-1	0.5
45	15442	15621	16522626	16507005	15716	274	0.5	2000	284.008	34.059	M2-1	0.5
46	0	0	1	1	0	0	0.5	2000	284.008	34.059	M2-1	0.5
48	32169	32345	24398605	24366260	32337	168	0.5	2000	284.008	34.059	M2-1	0.5
51	13999	14167	23988201	23974034	14263	264	0.5	2000	284.008	34.059	M2-1	0.5
52	0	0	0	0	0	0	0.5	2000	284.008	34.059	M2-1	0.5
54	34036	34863	24217320	24182457	34150	114	0.5	2000	284.008	34.059	M2-1	0.5
55	0	0	0	0	0	0	0.5	2000	284.008	34.059	M2-1	0.5
57	28373	28771	23932821	23904050	29223	850	0.5	2000	284.008	34.059	M2-1	0.5
58	0	0	0	0	0	0	0.5	2000	284.008	34.059	M2-1	0.5
59	0	0	1	1	0	0	0.5	2000	284.008	34.059	M2-1	0.5
60	13993	14059	16869336	16855277	14085	92	0.5	2000	284.008	34.059	M2-1	0.5
61	0	0	0	0	0	0	0.5	2000	284.008	34.059	M2-1	0.5
62	0	0	0	0	0	0	0.5	2000	284.008	34.059	M2-1	0.5
63	19819	19873	11608971	11589098	19881	62	0.5	2000	284.008	34.059	M2-1	0.5
64	0	0	0	0	0	0	0.5	2000	284.008	34.059	M2-1	0.5
66	42509	42563	7755891	7713328	42526	17	0.5	2000	284.008	34.059	M2-1	0.5
68	0	0	0	0	0	0	0.5	2000	284.008	34.059	M2-1	0.5
69	2709	2772	4928230	4925458	2748	39	0.5	2000	284.008	34.059	M2-1	0.5
72	2708	2716	2248260	2245544	2739	31	0.5	2000	284.008	34.059	M2-1	0.5
73	0	0	1	1	0	0	0.5	2000	284.008	34.059	M2-1	0.5
75	166295	166303	2494261	2327958	166302	7	0.5	2000	284.008	34.059	M2-1	0.5
78	606	617	541320	540703	626	20	0.5	2000	284.008	34.059	M2-1	0.5
81	18083	18097	402753	384656	18083	0	0.5	2000	284.008	34.059	M2-1	0.5
84	295	296	95703	95407	295	0	0.5	2000	284.008	34.059	M2-1	0.5
87	93	102	20100	19998	93	0	0.5	2000	284.008	34.059	M2-1	0.5
90	2	2	9045	9043	2	0	0.5	2000	284.008	34.059	M2-1	0.5
12	0	0	0	0	0	0	0.5	2000	3.32	28.714	M3-1	0.5
24	19	19	528	509	20	1	0.5	2000	3.32	28.714	M3-1	0.5
27	1012	1012	3403	2391	1012	0	0.5	2000	3.32	28.714	M3-1	0.5
30	2244	2244	20706	18462	2266	22	0.5	2000	3.32	28.714	M3-1	0.5
33	14453	14843	188191	173348	14453	0	0.5	2000	3.32	28.714	M3-1	0.5
36	7238877	7242680	9894576	2651896	7238881	4	0.5	2000	3.32	28.714	M3-1	0.5
39	263400	263445	2729616	2466171	263400	0	0.5	2000	3.32	28.714	M3-1	0.5
42	35711	35878	2158003	2122125	35836	125	0.5	2000	3.32	28.714	M3-1	0.5
45	55347	56285	3736011	3679726	55350	3	0.5	2000	3.32	28.714	M3-1	0.5
48	728017	728177	10776403	10048226	728027	10	0.5	2000	3.32	28.714	M3-1	0.5
51	443289	443478	10131751	9688273	443296	7	0.5	2000	3.32	28.714	M3-1	0.5
54	102022	102378	5519503	5417125	102027	5	0.5	2000	3.32	28.714	M3-1	0.5
57	99636	99788	4837605	4737817	99927	291	0.5	2000	3.32	28.714	M3-1	0.5
59	0	0	0	0	0	0	0.5	2000	3.32	28.714	M3-1	0.5
60	221502	221616	3573801	3352185	221541	39	0.5	2000	3.32	28.714	M3-1	0.5
62	0	0	0	0	0	0	0.5	2000	3.32	28.714	M3-1	0.5
63	576245	576491	9748320	9171829	576245	0	0.5	2000	3.32	28.714	M3-1	0.5
64	0	0	0	0	0	0	0.5	2000	3.32	28.714	M3-1	0.5
66	293041	293128	2492028	2198900	293041	0	0.5	2000	3.32	28.714	M3-1	0.5
68	10	10	15	5	10	0	0.5	2000	3.32	28.714	M3-1	0.5
69	359721	359725	4045590	3685865	359732	11	0.5	2000	3.32	28.714	M3-1	0.5
72	72649	75317	1553203	1477886	72649	0	0.5	2000	3.32	28.714	M3-1	0.5
75	18352	18352	328455	310103	18354	2	0.5	2000	3.32	28.714	M3-1	0.5
76	0	0	0	0	0	0	0.5	2000	3.32	28.714	M3-1	0.5
78	132571	132572	773146	640574	132571	0	0.5	2000	3.32	28.714	M3-1	0.5
81	5138	5138	36585	31447	5138	0	0.5	2000	3.32	28.714	M3-1	0.5
84	623	623	9730	9107	623	0	0.5	2000	3.32	28.714	M3-1	0.5
87	478	478	6670	6192	478	0	0.5	2000	3.32	28.714	M3-1	0.5
90	294	305	2278	1973	294	0	0.5	2000	3.32	28.714	M3-1	0.5
6	0	0	0	0	0	0	0.5	2000	313.666	37.532	M5-1	0.5
8	3	6	6	0	3	0	0.5	2000	313.666	37.532	M5-1	0.5
9	28	28	28	0	28	0	0.5	2000	313.666	37.532	M5-1	0.5
24	9161	9286	76636	67350	9282	121	0.5	2000	313.666	37.532	M5-1	0.5
27	9928	11312	53956	42644	9928	0	0.5	2000	313.666	37.532	M5-1	0.5
30	84740	84807	512578	427771	84741	1	0.5	2000	313.666	37.532	M5-1	0.5
33	15278	16399	1097421	1081022	15288	10	0.5	2000	313.666	37.532	M5-1	0.5
35	0	0	0	0	0	0	0.5	2000	313.666	37.532	M5-1	0.5
36	38436	38513	3324331	3285818	38468	32	0.5	2000	313.666	37.532	M5-1	0.5
37	0	0	0	0	0	0	0.5	2000	313.666	37.532	M5-1	0.5
39	76503	78081	8914753	8836672	76506	3	0.5	2000	313.666	37.532	M5-1	0.5
40	0	0	0	0	0	0	0.5	2000	313.666	37.532	M5-1	0.5
42	167660	168038	24440536	24272498	168058	398	0.5	2000	313.666	37.532	M5-1	0.5
45	189861	190901	46527481	46336580	190109	248	0.5	2000	313.666	37.532	M5-1	0.5
47	0	0	0	0	0	0	0.5	2000	313.666	37.532	M5-1	0.5
48	425431	430088	84142878	83712790	425928	497	0.5	2000	313.666	37.532	M5-1	0.5
49	0	0	0	0	0	0	0.5	2000	313.666	37.532	M5-1	0.5
51	279115	283513	65259600	64976087	280933	1818	0.5	2000	313.666	37.532	M5-1	0.5
54	393148	394658	62826445	62431787	393265	117	0.5	2000	313.666	37.532	M5-1	0.5
55	1	1	1	0	1	0	0.5	2000	313.666	37.532	M5-1	0.5
57	400763	402140	60077241	59675101	401026	263	0.5	2000	313.666	37.532	M5-1	0.5
58	0	0	0	0	0	0	0.5	2000	313.666	37.532	M5-1	0.5
59	0	0	0	0	0	0	0.5	2000	313.666	37.532	M5-1	0.5
60	138985	141584	42878430	42736846	139305	320	0.5	2000	313.666	37.532	M5-1	0.5
61	0	1	1	0	0	0	0.5	2000	313.666	37.532	M5-1	0.5
62	3	3	6	3	3	0	0.5	2000	313.666	37.532	M5-1	0.5
63	282518	283443	33020001	32736558	282581	63	0.5	2000	313.666	37.532	M5-1	0.5
64	0	0	0	0	0	0	0.5	2000	313.666	37.532	M5-1	0.5
66	145565	146922	23225520	23078598	145565	0	0.5	2000	313.666	37.532	M5-1	0.5
69	210314	210783	17877210	17666427	210350	36	0.5	2000	313.666	37.532	M5-1	0.5
72	197710	198785	11005086	10806301	197886	176	0.5	2000	313.666	37.532	M5-1	0.5
75	27238	27401	2809635	2782234	27242	4	0.5	2000	313.666	37.532	M5-1	0.5
76	0	0	0	0	0	0	0.5	2000	313.666	37.532	M5-1	0.5
78	57391	58159	2273778	2215619	57391	0	0.5	2000	313.666	37.532	M5-1	0.5
81	14868	14958	644680	629722	14868	0	0.5	2000	313.666	37.532	M5-1	0.5
84	29235	29526	328455	298929	29235	0	0.5	2000	313.666	37.532	M5-1	0.5
87	4182	4182	52650	48468	4185	3	0.5	2000	313.666	37.532	M5-1	0.5
90	2090	2090	18721	16631	2090	0	0.5	2000	313.666	37.532	M5-1	0.5
3	0	0	0	0	0	0	0.5	3000	118.802	74.91	M4-1	0.5
6	0	0	0	0	0	0	0.5	3000	118.802	74.91	M4-1	0.5
24	73	75	3570	3495	73	0	0.5	3000	118.802	74.91	M4-1	0.5
27	6507	6507	43071	36564	6513	6	0.5	3000	118.802	74.91	M4-1	0.5
30	709	716	40755	40039	714	5	0.5	3000	118.802	74.91	M4-1	0.5
33	33957	33984	424581	390597	33957	0	0.5	3000	118.802	74.91	M4-1	0.5
36	4978	4979	458403	453424	4984	6	0.5	3000	118.802	74.91	M4-1	0.5
39	222875	234607	6813586	6578979	222894	19	0.5	3000	118.802	74.91	M4-1	0.5
41	0	0	0	0	0	0	0.5	3000	118.802	74.91	M4-1	0.5
42	74372	74965	8559453	8484488	75520	1148	0.5	3000	118.802	74.91	M4-1	0.5
45	274768	274902	18638565	18363663	274789	21	0.5	3000	118.802	74.91	M4-1	0.5
47	0	0	0	0	0	0	0.5	3000	118.802	74.91	M4-1	0.5
48	211052	212334	24981846	24769512	211460	408	0.5	3000	118.802	74.91	M4-1	0.5
49	0	0	0	0	0	0	0.5	3000	118.802	74.91	M4-1	0.5
50	10	10	15	5	10	0	0.5	3000	118.802	74.91	M4-1	0.5
51	267974	270020	34283340	34013320	267992	18	0.5	3000	118.802	74.91	M4-1	0.5
52	0	0	0	0	0	0	0.5	3000	118.802	74.91	M4-1	0.5
53	0	0	1	1	0	0	0.5	3000	118.802	74.91	M4-1	0.5
54	249514	257003	26335653	26078650	249534	20	0.5	3000	118.802	74.91	M4-1	0.5
56	55	55	55	0	55	0	0.5	3000	118.802	74.91	M4-1	0.5
57	92013	92998	17307786	17214788	92039	26	0.5	3000	118.802	74.91	M4-1	0.5
58	0	0	0	0	0	0	0.5	3000	118.802	74.91	M4-1	0.5
60	172947	174264	15354111	15179847	172948	1	0.5	3000	118.802	74.91	M4-1	0.5
63	89734	90130	11987856	11897726	89788	54	0.5	3000	118.802	74.91	M4-1	0.5
65	0	0	0	0	0	0	0.5	3000	118.802	74.91	M4-1	0.5
66	189006	189660	8704878	8515218	189008	2	0.5	3000	118.802	74.91	M4-1	0.5
67	0	0	0	0	0	0	0.5	3000	118.802	74.91	M4-1	0.5
69	148691	148774	7634278	7485504	148697	6	0.5	3000	118.802	74.91	M4-1	0.5
72	1448204	1449473	11493615	10044142	1448209	5	0.5	3000	118.802	74.91	M4-1	0.5
73	1	1	1	0	1	0	0.5	3000	118.802	74.91	M4-1	0.5
75	18218	18309	962578	944269	18218	0	0.5	3000	118.802	74.91	M4-1	0.5
78	12180	12247	451725	439478	12180	0	0.5	3000	118.802	74.91	M4-1	0.5
81	1988	2002	126756	124754	1988	0	0.5	3000	118.802	74.91	M4-1	0.5
84	5572	5573	52650	47077	5572	0	0.5	3000	118.802	74.91	M4-1	0.5
87	620	621	12403	11782	620	0	0.5	3000	118.802	74.91	M4-1	0.5
90	218	233	4753	4520	218	0	0.5	3000	118.802	74.91	M4-1	0.5
3	0	0	0	0	0	0	0.5	3000	253.427	55.569	M2-1	0.5
12	1	1	1	0	1	0	0.5	3000	253.427	55.569	M2-1	0.5
15	0	0	0	0	0	0	0.5	3000	253.427	55.569	M2-1	0.5
24	80	80	17391	17311	132	52	0.5	3000	253.427	55.569	M2-1	0.5
27	58	58	20706	20648	65	7	0.5	3000	253.427	55.569	M2-1	0.5
30	316	317	102831	102514	326	10	0.5	3000	253.427	55.569	M2-1	0.5
33	760	781	571915	571134	808	48	0.5	3000	253.427	55.569	M2-1	0.5
36	1513	1518	1530375	1528857	1626	113	0.5	3000	253.427	55.569	M2-1	0.5
39	13374	13402	4501500	4488098	13454	80	0.5	3000	253.427	55.569	M2-1	0.5
41	0	0	0	0	0	0	0.5	3000	253.427	55.569	M2-1	0.5
