junction_length	tpos	cond_pos	cond_all	cond_neg	test_pos	fpos	norm_mini	size_threshold	cut_off	para_pp	para_pw	radius	sample
87	620	621	12403	11782	620	0	0.6	1000	0.1	13.687	16.987	0.5	M4-1
90	218	233	4753	4520	218	0	0.6	1000	0.1	13.687	16.987	0.5	M4-1
3	0	0	0	0	0	0	0.6	1000	0.17	13.813	19.998	0.5	M4-1
6	0	0	0	0	0	0	0.6	1000	0.17	13.813	19.998	0.5	M4-1
24	75	75	3570	3495	93	18	0.6	1000	0.17	13.813	19.998	0.5	M4-1
27	6507	6507	43071	36564	6516	9	0.6	1000	0.17	13.813	19.998	0.5	M4-1
30	710	716	40755	40039	746	36	0.6	1000	0.17	13.813	19.998	0.5	M4-1
33	33976	33984	424581	390597	34138	162	0.6	1000	0.17	13.813	19.998	0.5	M4-1
36	4979	4979	458403	453424	5161	182	0.6	1000	0.17	13.813	19.998	0.5	M4-1
39	220612	234607	6813586	6578979	220744	132	0.6	1000	0.17	13.813	19.998	0.5	M4-1
41	0	0	0	0	0	0	0.6	1000	0.17	13.813	19.998	0.5	M4-1
42	70807	74965	8559453	8484488	72298	1491	0.6	1000	0.17	13.813	19.998	0.5	M4-1
45	266603	274902	18638565	18363663	266825	222	0.6	1000	0.17	13.813	19.998	0.5	M4-1
47	0	0	0	0	0	0	0.6	1000	0.17	13.813	19.998	0.5	M4-1
48	212082	212334	24981846	24769512	215643	3561	0.6	1000	0.17	13.813	19.998	0.5	M4-1
49	0	0	0	0	0	0	0.6	1000	0.17	13.813	19.998	0.5	M4-1
50	10	10	15	5	10	0	0.6	1000	0.17	13.813	19.998	0.5	M4-1
51	268550	270020	34283340	34013320	276295	7745	0.6	1000	0.17	13.813	19.998	0.5	M4-1
52	0	0	0	0	0	0	0.6	1000	0.17	13.813	19.998	0.5	M4-1
53	0	0	1	1	0	0	0.6	1000	0.17	13.813	19.998	0.5	M4-1
54	256549	257003	26335653	26078650	258051	1502	0.6	1000	0.17	13.813	19.998	0.5	M4-1
56	55	55	55	0	55	0	0.6	1000	0.17	13.813	19.998	0.5	M4-1
57	92886	92998	17307786	17214788	93151	265	0.6	1000	0.17	13.813	19.998	0.5	M4-1
58	0	0	0	0	0	0	0.6	1000	0.17	13.813	19.998	0.5	M4-1
60	173284	174264	15354111	15179847	173485	201	0.6	1000	0.17	13.813	19.998	0.5	M4-1
63	89343	90130	11987856	11897726	89419	76	0.6	1000	0.17	13.813	19.998	0.5	M4-1
65	0	0	0	0	0	0	0.6	1000	0.17	13.813	19.998	0.5	M4-1
66	189512	189660	8704878	8515218	189549	37	0.6	1000	0.17	13.813	19.998	0.5	M4-1
67	0	0	0	0	0	0	0.6	1000	0.17	13.813	19.998	0.5	M4-1
69	148691	148774	7634278	7485504	148793	102	0.6	1000	0.17	13.813	19.998	0.5	M4-1
72	1444440	1449473	11493615	10044142	1444459	19	0.6	1000	0.17	13.813	19.998	0.5	M4-1
73	1	1	1	0	1	0	0.6	1000	0.17	13.813	19.998	0.5	M4-1
75	18308	18309	962578	944269	18314	6	0.6	1000	0.17	13.813	19.998	0.5	M4-1
78	12208	12247	451725	439478	12212	4	0.6	1000	0.17	13.813	19.998	0.5	M4-1
81	2002	2002	126756	124754	2002	0	0.6	1000	0.17	13.813	19.998	0.5	M4-1
84	5572	5573	52650	47077	5572	0	0.6	1000	0.17	13.813	19.998	0.5	M4-1
87	620	621	12403	11782	620	0	0.6	1000	0.17	13.813	19.998	0.5	M4-1
90	233	233	4753	4520	233	0	0.6	1000	0.17	13.813	19.998	0.5	M4-1
3	0	0	0	0	0	0	0.6	1000	0.16	13.944	18.23	0.5	M4-1
6	0	0	0	0	0	0	0.6	1000	0.16	13.944	18.23	0.5	M4-1
24	73	75	3570	3495	83	10	0.6	1000	0.16	13.944	18.23	0.5	M4-1
27	6507	6507	43071	36564	6516	9	0.6	1000	0.16	13.944	18.23	0.5	M4-1
30	710	716	40755	40039	715	5	0.6	1000	0.16	13.944	18.23	0.5	M4-1
33	33976	33984	424581	390597	34138	162	0.6	1000	0.16	13.944	18.23	0.5	M4-1
36	4978	4979	458403	453424	5003	25	0.6	1000	0.16	13.944	18.23	0.5	M4-1
39	220612	234607	6813586	6578979	220744	132	0.6	1000	0.16	13.944	18.23	0.5	M4-1
41	0	0	0	0	0	0	0.6	1000	0.16	13.944	18.23	0.5	M4-1
42	70795	74965	8559453	8484488	72124	1329	0.6	1000	0.16	13.944	18.23	0.5	M4-1
45	266603	274902	18638565	18363663	266825	222	0.6	1000	0.16	13.944	18.23	0.5	M4-1
47	0	0	0	0	0	0	0.6	1000	0.16	13.944	18.23	0.5	M4-1
48	211812	212334	24981846	24769512	213964	2152	0.6	1000	0.16	13.944	18.23	0.5	M4-1
49	0	0	0	0	0	0	0.6	1000	0.16	13.944	18.23	0.5	M4-1
50	10	10	15	5	10	0	0.6	1000	0.16	13.944	18.23	0.5	M4-1
51	268550	270020	34283340	34013320	276295	7745	0.6	1000	0.16	13.944	18.23	0.5	M4-1
52	0	0	0	0	0	0	0.6	1000	0.16	13.944	18.23	0.5	M4-1
53	0	0	1	1	0	0	0.6	1000	0.16	13.944	18.23	0.5	M4-1
54	256548	257003	26335653	26078650	256601	53	0.6	1000	0.16	13.944	18.23	0.5	M4-1
56	55	55	55	0	55	0	0.6	1000	0.16	13.944	18.23	0.5	M4-1
57	92886	92998	17307786	17214788	93151	265	0.6	1000	0.16	13.944	18.23	0.5	M4-1
58	0	0	0	0	0	0	0.6	1000	0.16	13.944	18.23	0.5	M4-1
60	173214	174264	15354111	15179847	173321	107	0.6	1000	0.16	13.944	18.23	0.5	M4-1
63	89343	90130	11987856	11897726	89419	76	0.6	1000	0.16	13.944	18.23	0.5	M4-1
65	0	0	0	0	0	0	0.6	1000	0.16	13.944	18.23	0.5	M4-1
66	189512	189660	8704878	8515218	189519	7	0.6	1000	0.16	13.944	18.23	0.5	M4-1
67	0	0	0	0	0	0	0.6	1000	0.16	13.944	18.23	0.5	M4-1
69	148691	148774	7634278	7485504	148793	102	0.6	1000	0.16	13.944	18.23	0.5	M4-1
72	1444437	1449473	11493615	10044142	1444444	7	0.6	1000	0.16	13.944	18.23	0.5	M4-1
73	1	1	1	0	1	0	0.6	1000	0.16	13.944	18.23	0.5	M4-1
75	18308	18309	962578	944269	18314	6	0.6	1000	0.16	13.944	18.23	0.5	M4-1
78	12208	12247	451725	439478	12209	1	0.6	1000	0.16	13.944	18.23	0.5	M4-1
81	2002	2002	126756	124754	2002	0	0.6	1000	0.16	13.944	18.23	0.5	M4-1
84	5572	5573	52650	47077	5572	0	0.6	1000	0.16	13.944	18.23	0.5	M4-1
87	620	621	12403	11782	620	0	0.6	1000	0.16	13.944	18.23	0.5	M4-1
90	233	233	4753	4520	233	0	0.6	1000	0.16	13.944	18.23	0.5	M4-1
3	0	0	0	0	0	0	0.6	1000	0.2	14.467	20.161	0.5	M4-1
6	0	0	0	0	0	0	0.6	1000	0.2	14.467	20.161	0.5	M4-1
24	75	75	3570	3495	93	18	0.6	1000	0.2	14.467	20.161	0.5	M4-1
27	6507	6507	43071	36564	7006	499	0.6	1000	0.2	14.467	20.161	0.5	M4-1
30	716	716	40755	40039	1157	441	0.6	1000	0.2	14.467	20.161	0.5	M4-1
33	33976	33984	424581	390597	36817	2841	0.6	1000	0.2	14.467	20.161	0.5	M4-1
36	4979	4979	458403	453424	7317	2338	0.6	1000	0.2	14.467	20.161	0.5	M4-1
39	220612	234607	6813586	6578979	221387	775	0.6	1000	0.2	14.467	20.161	0.5	M4-1
41	0	0	0	0	0	0	0.6	1000	0.2	14.467	20.161	0.5	M4-1
42	70959	74965	8559453	8484488	73452	2493	0.6	1000	0.2	14.467	20.161	0.5	M4-1
45	266622	274902	18638565	18363663	268555	1933	0.6	1000	0.2	14.467	20.161	0.5	M4-1
47	0	0	0	0	0	0	0.6	1000	0.2	14.467	20.161	0.5	M4-1
48	212095	212334	24981846	24769512	216797	4702	0.6	1000	0.2	14.467	20.161	0.5	M4-1
49	0	0	0	0	0	0	0.6	1000	0.2	14.467	20.161	0.5	M4-1
50	10	10	15	5	10	0	0.6	1000	0.2	14.467	20.161	0.5	M4-1
51	269014	270020	34283340	34013320	295826	26812	0.6	1000	0.2	14.467	20.161	0.5	M4-1
52	0	0	0	0	0	0	0.6	1000	0.2	14.467	20.161	0.5	M4-1
53	0	0	1	1	0	0	0.6	1000	0.2	14.467	20.161	0.5	M4-1
54	256789	257003	26335653	26078650	260596	3807	0.6	1000	0.2	14.467	20.161	0.5	M4-1
56	55	55	55	0	55	0	0.6	1000	0.2	14.467	20.161	0.5	M4-1
57	92889	92998	17307786	17214788	97189	4300	0.6	1000	0.2	14.467	20.161	0.5	M4-1
58	0	0	0	0	0	0	0.6	1000	0.2	14.467	20.161	0.5	M4-1
60	173290	174264	15354111	15179847	177149	3859	0.6	1000	0.2	14.467	20.161	0.5	M4-1
63	89602	90130	11987856	11897726	89884	282	0.6	1000	0.2	14.467	20.161	0.5	M4-1
65	0	0	0	0	0	0	0.6	1000	0.2	14.467	20.161	0.5	M4-1
66	189566	189660	8704878	8515218	189782	216	0.6	1000	0.2	14.467	20.161	0.5	M4-1
67	0	0	0	0	0	0	0.6	1000	0.2	14.467	20.161	0.5	M4-1
69	148717	148774	7634278	7485504	149817	1100	0.6	1000	0.2	14.467	20.161	0.5	M4-1
72	1444457	1449473	11493615	10044142	1444498	41	0.6	1000	0.2	14.467	20.161	0.5	M4-1
73	1	1	1	0	1	0	0.6	1000	0.2	14.467	20.161	0.5	M4-1
75	18309	18309	962578	944269	18345	36	0.6	1000	0.2	14.467	20.161	0.5	M4-1
78	12247	12247	451725	439478	12267	20	0.6	1000	0.2	14.467	20.161	0.5	M4-1
81	2002	2002	126756	124754	2007	5	0.6	1000	0.2	14.467	20.161	0.5	M4-1
84	5572	5573	52650	47077	5572	0	0.6	1000	0.2	14.467	20.161	0.5	M4-1
87	620	621	12403	11782	620	0	0.6	1000	0.2	14.467	20.161	0.5	M4-1
90	233	233	4753	4520	233	0	0.6	1000	0.2	14.467	20.161	0.5	M4-1
3	0	0	0	0	0	0	0.6	1000	0.13	14.524	19.388	0.5	M4-1
6	0	0	0	0	0	0	0.6	1000	0.13	14.524	19.388	0.5	M4-1
24	73	75	3570	3495	83	10	0.6	1000	0.13	14.524	19.388	0.5	M4-1
27	6507	6507	43071	36564	6513	6	0.6	1000	0.13	14.524	19.388	0.5	M4-1
30	709	716	40755	40039	714	5	0.6	1000	0.13	14.524	19.388	0.5	M4-1
33	33966	33984	424581	390597	34022	56	0.6	1000	0.13	14.524	19.388	0.5	M4-1
36	4978	4979	458403	453424	4984	6	0.6	1000	0.13	14.524	19.388	0.5	M4-1
39	220610	234607	6813586	6578979	220691	81	0.6	1000	0.13	14.524	19.388	0.5	M4-1
41	0	0	0	0	0	0	0.6	1000	0.13	14.524	19.388	0.5	M4-1
42	70590	74965	8559453	8484488	71727	1137	0.6	1000	0.13	14.524	19.388	0.5	M4-1
45	266514	274902	18638565	18363663	266535	21	0.6	1000	0.13	14.524	19.388	0.5	M4-1
47	0	0	0	0	0	0	0.6	1000	0.13	14.524	19.388	0.5	M4-1
48	211734	212334	24981846	24769512	212648	914	0.6	1000	0.13	14.524	19.388	0.5	M4-1
49	0	0	0	0	0	0	0.6	1000	0.13	14.524	19.388	0.5	M4-1
50	10	10	15	5	10	0	0.6	1000	0.13	14.524	19.388	0.5	M4-1
51	268213	270020	34283340	34013320	268345	132	0.6	1000	0.13	14.524	19.388	0.5	M4-1
52	0	0	0	0	0	0	0.6	1000	0.13	14.524	19.388	0.5	M4-1
53	0	0	1	1	0	0	0.6	1000	0.13	14.524	19.388	0.5	M4-1
54	255769	257003	26335653	26078650	255795	26	0.6	1000	0.13	14.524	19.388	0.5	M4-1
56	55	55	55	0	55	0	0.6	1000	0.13	14.524	19.388	0.5	M4-1
57	92601	92998	17307786	17214788	92662	61	0.6	1000	0.13	14.524	19.388	0.5	M4-1
58	0	0	0	0	0	0	0.6	1000	0.13	14.524	19.388	0.5	M4-1
60	172821	174264	15354111	15179847	172822	1	0.6	1000	0.13	14.524	19.388	0.5	M4-1
63	89325	90130	11987856	11897726	89374	49	0.6	1000	0.13	14.524	19.388	0.5	M4-1
65	0	0	0	0	0	0	0.6	1000	0.13	14.524	19.388	0.5	M4-1
66	189092	189660	8704878	8515218	189092	0	0.6	1000	0.13	14.524	19.388	0.5	M4-1
67	0	0	0	0	0	0	0.6	1000	0.13	14.524	19.388	0.5	M4-1
69	148640	148774	7634278	7485504	148646	6	0.6	1000	0.13	14.524	19.388	0.5	M4-1
72	1444374	1449473	11493615	10044142	1444379	5	0.6	1000	0.13	14.524	19.388	0.5	M4-1
73	1	1	1	0	1	0	0.6	1000	0.13	14.524	19.388	0.5	M4-1
75	18218	18309	962578	944269	18218	0	0.6	1000	0.13	14.524	19.388	0.5	M4-1
78	12184	12247	451725	439478	12184	0	0.6	1000	0.13	14.524	19.388	0.5	M4-1
81	1988	2002	126756	124754	1988	0	0.6	1000	0.13	14.524	19.388	0.5	M4-1
84	5572	5573	52650	47077	5572	0	0.6	1000	0.13	14.524	19.388	0.5	M4-1
87	620	621	12403	11782	620	0	0.6	1000	0.13	14.524	19.388	0.5	M4-1
90	218	233	4753	4520	218	0	0.6	1000	0.13	14.524	19.388	0.5	M4-1
3	0	0	0	0	0	0	0.6	1000	0.14	14.97	19.158	0.5	M4-1
6	0	0	0	0	0	0	0.6	1000	0.14	14.97	19.158	0.5	M4-1
24	73	75	3570	3495	83	10	0.6	1000	0.14	14.97	19.158	0.5	M4-1
27	6507	6507	43071	36564	6513	6	0.6	1000	0.14	14.97	19.158	0.5	M4-1
30	710	716	40755	40039	715	5	0.6	1000	0.14	14.97	19.158	0.5	M4-1
33	33966	33984	424581	390597	34022	56	0.6	1000	0.14	14.97	19.158	0.5	M4-1
36	4978	4979	458403	453424	5003	25	0.6	1000	0.14	14.97	19.158	0.5	M4-1
39	220610	234607	6813586	6578979	220691	81	0.6	1000	0.14	14.97	19.158	0.5	M4-1
41	0	0	0	0	0	0	0.6	1000	0.14	14.97	19.158	0.5	M4-1
42	70590	74965	8559453	8484488	71727	1137	0.6	1000	0.14	14.97	19.158	0.5	M4-1
45	266594	274902	18638565	18363663	266668	74	0.6	1000	0.14	14.97	19.158	0.5	M4-1
47	0	0	0	0	0	0	0.6	1000	0.14	14.97	19.158	0.5	M4-1
48	211734	212334	24981846	24769512	212648	914	0.6	1000	0.14	14.97	19.158	0.5	M4-1
49	0	0	0	0	0	0	0.6	1000	0.14	14.97	19.158	0.5	M4-1
50	10	10	15	5	10	0	0.6	1000	0.14	14.97	19.158	0.5	M4-1
51	268524	270020	34283340	34013320	269601	1077	0.6	1000	0.14	14.97	19.158	0.5	M4-1
52	0	0	0	0	0	0	0.6	1000	0.14	14.97	19.158	0.5	M4-1
53	0	0	1	1	0	0	0.6	1000	0.14	14.97	19.158	0.5	M4-1
54	255769	257003	26335653	26078650	255795	26	0.6	1000	0.14	14.97	19.158	0.5	M4-1
56	55	55	55	0	55	0	0.6	1000	0.14	14.97	19.158	0.5	M4-1
57	92601	92998	17307786	17214788	92662	61	0.6	1000	0.14	14.97	19.158	0.5	M4-1
58	0	0	0	0	0	0	0.6	1000	0.14	14.97	19.158	0.5	M4-1
60	172868	174264	15354111	15179847	172896	28	0.6	1000	0.14	14.97	19.158	0.5	M4-1
63	89325	90130	11987856	11897726	89374	49	0.6	1000	0.14	14.97	19.158	0.5	M4-1
65	0	0	0	0	0	0	0.6	1000	0.14	14.97	19.158	0.5	M4-1
66	189483	189660	8704878	8515218	189483	0	0.6	1000	0.14	14.97	19.158	0.5	M4-1
67	0	0	0	0	0	0	0.6	1000	0.14	14.97	19.158	0.5	M4-1
69	148643	148774	7634278	7485504	148719	76	0.6	1000	0.14	14.97	19.158	0.5	M4-1
72	1444437	1449473	11493615	10044142	1444443	6	0.6	1000	0.14	14.97	19.158	0.5	M4-1
73	1	1	1	0	1	0	0.6	1000	0.14	14.97	19.158	0.5	M4-1
75	18288	18309	962578	944269	18289	1	0.6	1000	0.14	14.97	19.158	0.5	M4-1
78	12184	12247	451725	439478	12184	0	0.6	1000	0.14	14.97	19.158	0.5	M4-1
81	1988	2002	126756	124754	1988	0	0.6	1000	0.14	14.97	19.158	0.5	M4-1
84	5572	5573	52650	47077	5572	0	0.6	1000	0.14	14.97	19.158	0.5	M4-1
87	620	621	12403	11782	620	0	0.6	1000	0.14	14.97	19.158	0.5	M4-1
90	233	233	4753	4520	233	0	0.6	1000	0.14	14.97	19.158	0.5	M4-1
3	0	0	0	0	0	0	0.6	1000	0.11	15.912	22.068	0.5	M4-1
6	0	0	0	0	0	0	0.6	1000	0.11	15.912	22.068	0.5	M4-1
24	73	75	3570	3495	73	0	0.6	1000	0.11	15.912	22.068	0.5	M4-1
27	6507	6507	43071	36564	6507	0	0.6	1000	0.11	15.912	22.068	0.5	M4-1
30	709	716	40755	40039	714	5	0.6	1000	0.11	15.912	22.068	0.5	M4-1
33	33957	33984	424581	390597	33957	0	0.6	1000	0.11	15.912	22.068	0.5	M4-1
36	4964	4979	458403	453424	4970	6	0.6	1000	0.11	15.912	22.068	0.5	M4-1
39	218354	234607	6813586	6578979	218373	19	0.6	1000	0.11	15.912	22.068	0.5	M4-1
41	0	0	0	0	0	0	0.6	1000	0.11	15.912	22.068	0.5	M4-1
42	70402	74965	8559453	8484488	71502	1100	0.6	1000	0.11	15.912	22.068	0.5	M4-1
45	263590	274902	18638565	18363663	263601	11	0.6	1000	0.11	15.912	22.068	0.5	M4-1
47	0	0	0	0	0	0	0.6	1000	0.11	15.912	22.068	0.5	M4-1
48	210917	212334	24981846	24769512	211324	407	0.6	1000	0.11	15.912	22.068	0.5	M4-1
49	0	0	0	0	0	0	0.6	1000	0.11	15.912	22.068	0.5	M4-1
50	10	10	15	5	10	0	0.6	1000	0.11	15.912	22.068	0.5	M4-1
51	267688	270020	34283340	34013320	267697	9	0.6	1000	0.11	15.912	22.068	0.5	M4-1
52	0	0	0	0	0	0	0.6	1000	0.11	15.912	22.068	0.5	M4-1
53	0	0	1	1	0	0	0.6	1000	0.11	15.912	22.068	0.5	M4-1
54	240060	257003	26335653	26078650	240070	10	0.6	1000	0.11	15.912	22.068	0.5	M4-1
56	55	55	55	0	55	0	0.6	1000	0.11	15.912	22.068	0.5	M4-1
57	91948	92998	17307786	17214788	91964	16	0.6	1000	0.11	15.912	22.068	0.5	M4-1
58	0	0	0	0	0	0	0.6	1000	0.11	15.912	22.068	0.5	M4-1
60	172711	174264	15354111	15179847	172711	0	0.6	1000	0.11	15.912	22.068	0.5	M4-1
63	88681	90130	11987856	11897726	88723	42	0.6	1000	0.11	15.912	22.068	0.5	M4-1
65	0	0	0	0	0	0	0.6	1000	0.11	15.912	22.068	0.5	M4-1
66	188994	189660	8704878	8515218	188994	0	0.6	1000	0.11	15.912	22.068	0.5	M4-1
67	0	0	0	0	0	0	0.6	1000	0.11	15.912	22.068	0.5	M4-1
69	145489	148774	7634278	7485504	145489	0	0.6	1000	0.11	15.912	22.068	0.5	M4-1
72	1442620	1449473	11493615	10044142	1442621	1	0.6	1000	0.11	15.912	22.068	0.5	M4-1
73	1	1	1	0	1	0	0.6	1000	0.11	15.912	22.068	0.5	M4-1
75	18193	18309	962578	944269	18193	0	0.6	1000	0.11	15.912	22.068	0.5	M4-1
78	12178	12247	451725	439478	12178	0	0.6	1000	0.11	15.912	22.068	0.5	M4-1
81	1952	2002	126756	124754	1952	0	0.6	1000	0.11	15.912	22.068	0.5	M4-1
84	5572	5573	52650	47077	5572	0	0.6	1000	0.11	15.912	22.068	0.5	M4-1
87	620	621	12403	11782	620	0	0.6	1000	0.11	15.912	22.068	0.5	M4-1
90	218	233	4753	4520	218	0	0.6	1000	0.11	15.912	22.068	0.5	M4-1
3	0	0	0	0	0	0	0.6	1000	0.15	16.122	24.648	0.5	M4-1
6	0	0	0	0	0	0	0.6	1000	0.15	16.122	24.648	0.5	M4-1
24	73	75	3570	3495	83	10	0.6	1000	0.15	16.122	24.648	0.5	M4-1
27	6507	6507	43071	36564	6516	9	0.6	1000	0.15	16.122	24.648	0.5	M4-1
30	710	716	40755	40039	715	5	0.6	1000	0.15	16.122	24.648	0.5	M4-1
33	33966	33984	424581	390597	34022	56	0.6	1000	0.15	16.122	24.648	0.5	M4-1
36	4978	4979	458403	453424	5003	25	0.6	1000	0.15	16.122	24.648	0.5	M4-1
39	220610	234607	6813586	6578979	220691	81	0.6	1000	0.15	16.122	24.648	0.5	M4-1
41	0	0	0	0	0	0	0.6	1000	0.15	16.122	24.648	0.5	M4-1
42	70795	74965	8559453	8484488	72124	1329	0.6	1000	0.15	16.122	24.648	0.5	M4-1
45	266594	274902	18638565	18363663	266668	74	0.6	1000	0.15	16.122	24.648	0.5	M4-1
47	0	0	0	0	0	0	0.6	1000	0.15	16.122	24.648	0.5	M4-1
48	211812	212334	24981846	24769512	213964	2152	0.6	1000	0.15	16.122	24.648	0.5	M4-1
49	0	0	0	0	0	0	0.6	1000	0.15	16.122	24.648	0.5	M4-1
50	10	10	15	5	10	0	0.6	1000	0.15	16.122	24.648	0.5	M4-1
51	268524	270020	34283340	34013320	269601	1077	0.6	1000	0.15	16.122	24.648	0.5	M4-1
52	0	0	0	0	0	0	0.6	1000	0.15	16.122	24.648	0.5	M4-1
53	0	0	1	1	0	0	0.6	1000	0.15	16.122	24.648	0.5	M4-1
54	256548	257003	26335653	26078650	256601	53	0.6	1000	0.15	16.122	24.648	0.5	M4-1
56	55	55	55	0	55	0	0.6	1000	0.15	16.122	24.648	0.5	M4-1
